433498,Papillon
264660,Ex Machina
334543,Lion
446101,Assassination Nation
281338,War for the Planet of the Apes
1422,The Departed
571419,Saving Leningrad
11130,The Princess Diaries 2: Royal Engagement
572667,Terlalu Tampan
62764,Mirror Mirror
359940,"Three Billboards Outside Ebbing, Missouri"
406997,Wonder
335797,Sing
462919,Sierra Burgess Is a Loser
476667,The Lost Elephants
468362,The Angel
484436,Animas
451925,Time Freak
464502,Acrimony
530442,"My Teacher, My Obsession"
339103,Gotti
425972,Cargo
11324,Shutter Island
324786,Hacksaw Ridge
449459,The Vanishing
566100,Keluarga Cemara
49017,Dracula Untold
392044,Murder on the Orient Express
569547,Black Mirror: Bandersnatch
64690,Drive
507076,Climax
575337,Symphony No. 9
401905,Fahrenheit 451
455108,The Little Stranger
574467,The Warden
472451,Boy Erased
274857,King Arthur: Legend of the Sword
77338,The Intouchables
440161,The Sisters Brothers
293768,Kidnap
474354,22 July
372058,Your Name.
399170,Logan Lucky
154400,The Drop
460071,Lizzie
489931,American Animals
11036,The Notebook
1124,The Prestige
216015,Fifty Shades of Grey
11321,Seven Pounds
454227,Outlaw King
500475,SuperFly
400579,Tully
112160,Sexual Chronicles of a French Family
399404,Darkest Hour
395834,Wind River
6977,No Country for Old Men
398181,You Were Never Really Here
467952,The Catcher Was a Spy
152601,Her
1402,The Pursuit of Happyness
375785,Then Came You
391713,Lady Bird
265208,Wild Card
546765,Yuki no Hana
318846,The Big Short
278927,The Jungle Book
449176,"Love, Simon"
379149,The Foreigner
290595,The Huntsman: Winter's War
396371,Molly's Game
1949,Zodiac
533148,Ek Ladki Ko Dekha Toh Aisa Laga
283366,Miss Peregrine's Home for Peculiar Children
222935,The Fault in Our Stars
73881,Thawing Out
476292,Maquia: When the Promised Flower Blooms
486947,The Guilty
429415,Extinction
453201,The 15:17 to Paris
389015,"I, Tonya"
429351,12 Strong
139567,Fire with Fire
446354,The Post
315837,Ghost in the Shell
449924,Ip Man 4
50620,The Twilight Saga: Breaking Dawn - Part 2
429417,Ghost Stories
38,Eternal Sunshine of the Spotless Mind
333371,10 Cloverfield Lane
433288,1%
146233,Prisoners
487670,The Death of Superman
406990,What Happened to Monday
261470,Sorry If I Call You Love
459910,Braven
515916,Girl
24021,The Twilight Saga: Eclipse
4349,The Kingdom
339692,Shot Caller
395992,Life
14574,The Boy in the Striped Pyjamas
399905,Female War: A Nasty Deal
27022,The Sorcerer's Apprentice
566512,Crucible of the Vampire
2502,The Bourne Supremacy
414191,Our House
15472,The Girl with the Dragon Tattoo
6479,I Am Legend
28178,Hachi: A Dog's Tale
1417,Pan's Labyrinth
176147,Secret Love: The Schoolboy and the Mailwoman
300671,13 Hours: The Secret Soldiers of Benghazi
58595,Snow White and the Huntsman
370663,Below Her Mouth
341174,Fifty Shades Darker
82695,Les Misérables
390062,Jungle
82693,Silver Linings Playbook
381283,mother!
503346,Occupation
454652,Colette
53182,300: Rise of an Empire
652,Troy
787,Mr. & Mrs. Smith
557648,Rent
554731,A Man Called Ahok
385332,Terminal
220882,London Fields
400617,Phantom Thread
76203,12 Years a Slave
20662,Robin Hood
419478,Midnight Sun
17979,A Christmas Carol
168508,Something in the Way
110415,Snowpiercer
438650,Cold Pursuit
168672,American Hustle
536176,Brexit: The Uncivil War
5915,Into the Wild
9762,Step Up
7211,Dan in Real Life
147441,Exodus: Gods and Kings
84892,The Perks of Being a Wallflower
465136,Every Day
561,Constantine
419831,I Kill Giants
505192,Shoplifters
472734,Dumplin'
376867,Moonlight
124905,Godzilla
122906,About Time
432301,Chappaquiddick
443463,Leave No Trace
483184,Dogman
302946,The Accountant
4348,Pride & Prejudice
384680,Hostiles
1246,Rocky Balboa
10184,He's Just Not That Into You
314365,Spotlight
399057,The Killing of a Sacred Deer
171274,Inherent Vice
142,Brokeback Mountain
13374,Ice Princess
121046,Eternity
502682,Book Club
4347,Atonement
470229,Summer of 84
1579,Apocalypto
345920,Collateral Beauty
4922,The Curious Case of Benjamin Button
470894,At First Light
418827,Sister's Younger Husband
396461,Under the Silver Lake
346685,The Girl on the Train
446791,All the Money in the World
59440,Warrior
536413,"Junpei, Think Again"
500869,Viper Club
491622,Manikarnika
253412,Everest
37799,The Social Network
23168,The Town
426613,The Miseducation of Cameron Post
385360,Billionaire Boys Club
416477,The Big Sick
254320,The Lobster
333696,Naked Among Wolves
1640,Crash
137094,Jack Ryan: Shadow Recruit
201088,Blackhat
2503,The Bourne Ultimatum
45269,The King's Speech
75780,Jack Reacher
2567,The Aviator
353326,The Man Who Knew Infinity
7485,Shooter
340666,Nocturnal Animals
433683,History of the First Kazakh Khans. The Diamond Sword
96724,Anna Karenina
266856,The Theory of Everything
577314,Darkhoongah
577312,Gold Carrier
45317,The Fighter
296524,Deepwater Horizon
381289,A Dog's Purpose
116745,The Secret Life of Walter Mitty
559770,twelves.
332567,The Shallows
39254,Real Steel
295011,Patient Zero
70,Million Dollar Baby
481117,The Brawler
76726,Chronicle
44214,Black Swan
196867,Annie
296096,Me Before You
525946,Troop Zero
249397,Nymphomaniac: Vol. II
1887,Marie Antoinette
8456,Never Back Down
489929,Destination Wedding
19913,(500) Days of Summer
13223,Gran Torino
12162,The Hurt Locker
429203,The Old Man & the Gun
50646,"Crazy, Stupid, Love."
445954,Acts of Vengeance
9509,Man on Fire
207932,Inferno
258216,Nymphomaniac: Vol. I
493551,Operation Finale
302401,Snowden
20497,Ballet Shoes
390874,Ashes in the Snow
24253,The Girl Who Played with Fire
